,Year,Period,Code,Name,Section,Dept.,T,P,L,Cr,ECTS,Category,Lecturer,Room,Schedule,# of Students,Successfull,Unsuccessfull,Conditional,Withdrawn,Average,Staff ID
,2024,1,BA 110,Introduction to Business,BA 110_01,Department of Business Administration,3,0,0,3,6,Course,Levent Akdeniz ,DB18,Tu 09 - 12,0,,,,,,5533
,2024,1,BA 201,Introduction to Management,BA 201_01,Department of Business Administration,3,0,0,3,6,Course,Burze Ya�ar ,D228,Tu 09 - 12,0,,,,,,308
,2024,1,BA 201,Introduction to Management,BA 201_02,Department of Business Administration,3,0,0,3,6,Course,Burze Ya�ar ,G213,Mo 16 - 19,0,,,,,,308
,2024,1,BA 203,Principles of Financial Accounting,BA 203_01,Department of Business Administration,3,0,0,3,6,Course,Sadettin Ayd�n Y�ksel ,G112,Mo 09 - 12,0,,,,,,5038
,2024,1,BA 204,Organizational Behavior,BA 204_01,Department of Business Administration,3,0,0,3,6,Course,K�ymet Duygu Erda� ,G108,Th 09 - 12,0,,,,,,3102
,2024,1,BA 300,Summer Practice  I,BA 300_01,Department of Business Administration,1,0,0,1,2,Internship,Asl� Y�ksel ,,Fr 18 - 19,0,,,,,,5530
,2024,1,BA 301,Principles of Marketing,BA 301_01,Department of Business Administration,3,0,0,3,6,Course,Can Armutlu ,G103,Fr 09 - 12,0,,,,,,481
,2024,1,BA 301,Principles of Marketing,BA 301_02,Department of Business Administration,3,0,0,3,6,Course,Can Armutlu ,G112,Fr 13 - 16,0,,,,,,481
,2024,1,BA 301,Principles of Marketing,BA 301_03,Department of Business Administration,3,0,0,3,6,Course,Can Armutlu ,D232,Tu 09 - 12,0,,,,,,481
,2024,1,BA 303,Managerial Accounting,BA 303_01,Department of Business Administration,3,0,0,3,6,Course,Sadettin Ayd�n Y�ksel ,G005,We 13 - 16,0,,,,,,5038
,2024,1,BA 305,Production and Operations Management,BA 305_01,Department of Business Administration,3,0,0,3,6,Course,Hakan B�t�ner ,D232,Mo 13 - 16,0,,,,,,5021
,2024,1,BA 307,Foundations of Finance,BA 307_01,Department of Business Administration,3,0,0,3,6,Course,Sadettin Ayd�n Y�ksel ,GB05,Tu 09 - 12,0,,,,,,5038
,2024,1,BA 400-O,Summer Practice II,BA 400-O_01,Department of Business Administration,1,0,0,1,2,Internship,Asl� Y�ksel ,,Fr 19 - 20,0,,,,,,5530
,2024,1,BA 401-O,Research Methods,BA 401-O_01,Department of Business Administration,3,0,0,3,7,Course,K�ymet Duygu Erda� ,G213,Mo 09 - 12,0,,,,,,3102
,2024,1,BA 402-O,Graduation Paper and Seminar,BA 402-O_01,Department of Business Administration,3,0,0,3,7,Course,Asl� Y�ksel ,,Mo 18 - 21,0,,,,,,5530
,2024,1,BA 435,Real Estate Finance,BA 435_01,Department of Business Administration,3,0,0,3,6,Course,Asl� Y�ksel ,G009,Mo 12 - 15,0,,,,,,5530
,2024,1,BA 442,International Marketing,BA 442_01,Department of Business Administration,3,0,0,3,6,Course,,F404,We 09 - 12,0,,,,,,
,2024,1,BA 447,Perception Management,BA 447_01,Department of Business Administration,3,0,0,3,6,Course,,G009,Fr 09 - 12,0,,,,,,
,2024,1,BA 451,Human Resource Management,BA 451_01,Department of Business Administration,3,0,0,3,6,Course,,G112,Tu 14 - 17,0,,,,,,
,2024,1,BA 461,Consumer Behavior,BA 461_01,Department of Business Administration,3,0,0,3,6,Course,Can Armutlu ,F417,Tu 14 - 17,0,,,,,,481
,2024,1,BA 464,Brand Management,BA 464_01,Department of Business Administration,3,0,0,3,6,Course,,G113,Fr 13 - 16,0,,,,,,
,2024,1,BA 466,Advertising,BA 466_01,Department of Business Administration,3,0,0,3,6,Course,,F404,We 14 - 17,0,,,,,,
,2024,1,BA 473,Project Management,BA 473_01,Department of Business Administration,3,0,0,3,6,Course,,G103,Th 18 - 21,0,,,,,,
