Year,Period,Code,Name,Section,Dept.,T,P,L,Cr,ECTS,Category,Lecturer,Room,Schedule,# of Students,Successfull,Unsuccessfull,Conditional,Withdrawn,Average,Staff ID
2024,1,CMPE 112,Fundamentals of Programming I,01,Department of Computer Engineering,1,0,4,3,6,Course,,K085 A514-PC-L,We 14 - 16 Th 12 - 14,0,,,,,,
2024,1,CMPE 112,Fundamentals of Programming I,02,Department of Computer Engineering,1,0,4,3,6,Course,,A514-PC-L K085,Tu 09 - 11 We 16 - 18,0,,,,,,
2024,1,CMPE 112,Fundamentals of Programming I,03,Department of Computer Engineering,1,0,4,3,6,Course,Elif Kurtaran �zbudak ,A514-PC-L DB18,Mo 09 - 11 Fr 09 - 11,0,,,,,,3895
2024,1,CMPE 113,Fundamentals of Programming I,01,Department of Computer Engineering,2,0,2,3,5,Course,,K085 A514-PC-L,We 14 - 16 Th 12 - 14,0,,,,,,
2024,1,CMPE 113,Fundamentals of Programming I,02,Department of Computer Engineering,2,0,2,3,5,Course,,A514-PC-L K085,Tu 09 - 11 We 16 - 18,0,,,,,,
2024,1,CMPE 113,Fundamentals of Programming I,03,Department of Computer Engineering,2,0,2,3,5,Course,Elif Kurtaran �zbudak ,A514-PC-L DB18,Mo 09 - 11 Fr 09 - 11,0,,,,,,3895
2024,1,CMPE 114,Fundamentals of Programming II,01,Department of Computer Engineering,2,0,2,3,6,Course,Eren Ulu ,A514-PC-L D026,We 18 - 20 Th 16 - 18,0,,,,,,469
2024,1,CMPE 114,Fundamentals of Programming II,02,Department of Computer Engineering,2,0,2,3,6,Course,Eren Ulu ,A514-PC-L D026,Tu 14 - 16 Th 18 - 20,0,,,,,,469
2024,1,CMPE 114,Fundamentals of Programming II,03,Department of Computer Engineering,2,0,2,3,6,Course,Eren Ulu ,D028 A514-PC-L,Mo 16 - 18 Tu 18 - 20,0,,,,,,469
2024,1,CMPE 114,Fundamentals of Programming II,04,Department of Computer Engineering,2,0,2,3,6,Course,Eren Ulu ,D028 A514-PC-L,Mo 18 - 20 Fr 18 - 20,0,,,,,,469
2024,1,CMPE 201,Discrete Structures of Mathematics,01,Department of Computer Engineering,3,0,0,3,6,Course,Niyazi An�l Gezer ,DB20 K183,Mo 13 - 15 We 15 - 16,0,,,,,,3329
2024,1,CMPE 201,Discrete Structures of Mathematics,02,Department of Computer Engineering,3,0,0,3,6,Course,Ezgi T�rkarslan ,DB18,Tu 14 - 16 Th 13 - 14,0,,,,,,2070
2024,1,CMPE 201,Discrete Structures of Mathematics,03,Department of Computer Engineering,3,0,0,3,6,Course,Ezgi T�rkarslan ,D232 D030,Mo 11 - 13 We 15 - 16,0,,,,,,2070
2024,1,CMPE 211,Fundamentals of Programming II,01,Department of Computer Engineering,2,0,2,3,6,Course,Eren Ulu ,A514-PC-L D026,We 18 - 20 Th 16 - 18,0,,,,,,469
2024,1,CMPE 211,Fundamentals of Programming II,02,Department of Computer Engineering,2,0,2,3,6,Course,Eren Ulu ,A514-PC-L D026,Tu 14 - 16 Th 18 - 20,0,,,,,,469
2024,1,CMPE 211,Fundamentals of Programming II,03,Department of Computer Engineering,2,0,2,3,6,Course,Eren Ulu ,D028 A514-PC-L,Mo 16 - 18 Tu 18 - 20,0,,,,,,469
2024,1,CMPE 211,Fundamentals of Programming II,04,Department of Computer Engineering,2,0,2,3,6,Course,Eren Ulu ,D028 A514-PC-L,Mo 18 - 20 Fr 18 - 20,0,,,,,,469
2024,1,CMPE 223,Data Structures and Algorithms I,01,Department of Computer Engineering,3,0,0,3,6,Course,Ula� G�le� ,D026,Th 09 - 12,0,,,,,,3019
2024,1,CMPE 223,Data Structures and Algorithms I,02,Department of Computer Engineering,3,0,0,3,6,Course,Ula� G�le� ,D032,Th 14 - 17,0,,,,,,3019
2024,1,CMPE 223,Data Structures and Algorithms I,03,Department of Computer Engineering,3,0,0,3,6,Course,Ula� G�le� ,D026,Fr 15 - 18,0,,,,,,3019
2024,1,CMPE 224,Data Structures and Algorithms II,01,Department of Computer Engineering,3,0,0,3,6,Course,Venera Adanova ,D030,Th 12 - 15,0,,,,,,1814
2024,1,CMPE 224,Data Structures and Algorithms II,02,Department of Computer Engineering,3,0,0,3,6,Course,Venera Adanova ,D028,Mo 09 - 12,0,,,,,,1814
2024,1,CMPE 224,Data Structures and Algorithms II,03,Department of Computer Engineering,3,0,0,3,6,Course,Venera Adanova ,D026,Tu 16 - 19,0,,,,,,1814
2024,1,CMPE 224,Data Structures and Algorithms II,04,Department of Computer Engineering,3,0,0,3,6,Course,Tolga Kurtulu� �ap�n ,D028,Fr 11 - 14,0,,,,,,244
2024,1,CMPE 224,Data Structures and Algorithms II,05,Department of Computer Engineering,3,0,0,3,6,Course,,DB16,Tu 16 - 19,0,,,,,,
2024,1,CMPE 232,Database Systems,01,Department of Computer Engineering,3,0,0,3,5,Course,Ay�e Yasemin Seydim ,D030 D028,Tu 09 - 11 Fr 14 - 15,0,,,,,,5863
2024,1,CMPE 232,Database Systems,02,Department of Computer Engineering,3,0,0,3,5,Course,Ay�e Yasemin Seydim ,D028,We 13 - 15 Fr 15 - 16,0,,,,,,5863
2024,1,CMPE 232,Database Systems,03,Department of Computer Engineering,3,0,0,3,5,Course,,D032,Mo 09 - 11 We 09 - 10,0,,,,,,
2024,1,CMPE 232,Database Systems,04,Department of Computer Engineering,3,0,0,3,5,Course,,DB14 D032,Tu 14 - 16 We 10 - 11,0,,,,,,
2024,1,CMPE 232,Database Systems,05,Department of Computer Engineering,3,0,0,3,5,Course,,D026 D234,Tu 13 - 14 We 13 - 15,0,,,,,,
2024,1,CMPE 242,Data Structures and Algorithms I,01,Department of Computer Engineering,3,0,0,3,6,Course,Ula� G�le� ,D026,Th 09 - 12,0,,,,,,3019
2024,1,CMPE 242,Data Structures and Algorithms I,02,Department of Computer Engineering,3,0,0,3,6,Course,Ula� G�le� ,D032,Th 14 - 17,0,,,,,,3019
2024,1,CMPE 242,Data Structures and Algorithms I,03,Department of Computer Engineering,3,0,0,3,6,Course,Ula� G�le� ,D026,Fr 15 - 18,0,,,,,,3019
2024,1,CMPE 322,Theory of Computation,01,Department of Computer Engineering,3,0,0,3,6,Course,F�rat Akba ,DB18,Mo 09 - 12,0,,,,,,4099
2024,1,CMPE 322,Theory of Computation,02,Department of Computer Engineering,3,0,0,3,6,Course,F�rat Akba ,DB16,Mo 13 - 16,0,,,,,,4099
2024,1,CMPE 322,Theory of Computation,03,Department of Computer Engineering,3,0,0,3,6,Course,F�rat Akba ,DB16,We 09 - 12,0,,,,,,4099
2024,1,CMPE 322,Theory of Computation,04,Department of Computer Engineering,3,0,0,3,6,Course,F�rat Akba ,D030,We 16 - 19,0,,,,,,4099
2024,1,CMPE 322,Theory of Computation,05,Department of Computer Engineering,3,0,0,3,6,Course,�zlem Albayrak ,DB20,Th 14 - 17,0,,,,,,5055
2024,1,CMPE 325,Information Security and Cryptography,01,Department of Computer Engineering,3,0,0,3,5,Course,Elif Kurtaran �zbudak ,K085,Tu 09 - 12,0,,,,,,3895
2024,1,CMPE 325,Information Security and Cryptography,02,Department of Computer Engineering,3,0,0,3,5,Course,Elif Kurtaran �zbudak ,D228,Fr 13 - 16,0,,,,,,3895
2024,1,CMPE 327,Theory of Computation,01,Department of Computer Engineering,3,0,0,3,6,Course,F�rat Akba ,DB18,Mo 09 - 12,0,,,,,,4099
2024,1,CMPE 327,Theory of Computation,02,Department of Computer Engineering,3,0,0,3,6,Course,F�rat Akba ,DB16,Mo 13 - 16,0,,,,,,4099
2024,1,CMPE 327,Theory of Computation,03,Department of Computer Engineering,3,0,0,3,6,Course,F�rat Akba ,DB16,We 09 - 12,0,,,,,,4099
2024,1,CMPE 327,Theory of Computation,04,Department of Computer Engineering,3,0,0,3,6,Course,F�rat Akba ,D030,We 16 - 19,0,,,,,,4099
2024,1,CMPE 327,Theory of Computation,05,Department of Computer Engineering,3,0,0,3,6,Course,�zlem Albayrak ,DB20,Th 14 - 17,0,,,,,,5055
2024,1,CMPE 343,Data Structures and Algorithms II,01,Department of Computer Engineering,3,0,0,3,6,Course,Venera Adanova ,D030,Th 12 - 15,0,,,,,,1814
2024,1,CMPE 343,Data Structures and Algorithms II,02,Department of Computer Engineering,3,0,0,3,6,Course,Venera Adanova ,D028,Mo 09 - 12,0,,,,,,1814
2024,1,CMPE 343,Data Structures and Algorithms II,03,Department of Computer Engineering,3,0,0,3,6,Course,Venera Adanova ,D026,Tu 16 - 19,0,,,,,,1814
2024,1,CMPE 343,Data Structures and Algorithms II,04,Department of Computer Engineering,3,0,0,3,6,Course,Tolga Kurtulu� �ap�n ,D028,Fr 11 - 14,0,,,,,,244
2024,1,CMPE 343,Data Structures and Algorithms II,05,Department of Computer Engineering,3,0,0,3,6,Course,,DB16,Tu 16 - 19,0,,,,,,
